handle,niche,priorite
@romain.createur,YouTube & Créateurs,haute
@axel.youtube.france,YouTube & Créateurs,haute
@theo.content,YouTube & Créateurs,haute
@baptiste.creator,YouTube & Créateurs,haute
@alice.youtube,YouTube & Créateurs,haute
@laura.creator.fr,YouTube & Créateurs,haute
@camille.youtube.france,YouTube & Créateurs,haute
@sofia.creator,YouTube & Créateurs,haute
@manon.content.fr,YouTube & Créateurs,haute
@views.france,YouTube & Créateurs,haute
@abonnes.youtube.fr,YouTube & Créateurs,haute
@ctr.tips.fr,YouTube & Créateurs,haute
@miniature.pro.fr,YouTube & Créateurs,haute
@script.pro.france,YouTube & Créateurs,haute
@vlog.tuto.fr,YouTube & Créateurs,haute
@monetisation.youtube.fr,YouTube & Créateurs,haute
@adsense.france,YouTube & Créateurs,haute
@partenariat.youtube.fr,YouTube & Créateurs,haute
@brand.deal.france,YouTube & Créateurs,haute
@sponsor.creator.fr,YouTube & Créateurs,haute
@ugc.france,YouTube & Créateurs,haute
@ugc.creator.fr,YouTube & Créateurs,haute
@ugc.tips.france,YouTube & Créateurs,haute
@contenu.sponsorise.fr,YouTube & Créateurs,haute
@marketing.digital.france,Marketing & Business,haute
@reseaux.sociaux.fr,Marketing & Business,haute
@social.media.france,Marketing & Business,haute
@community.manager.fr,Marketing & Business,haute
@growth.hacking.france,Marketing & Business,haute
@personal.branding.fr,Marketing & Business,haute
@email.marketing.france,Marketing & Business,haute
@copywriting.france,Marketing & Business,haute
@funnel.france,Marketing & Business,haute
@landing.page.fr,Marketing & Business,haute
@seo.france.tips,Marketing & Business,haute
@google.ads.france,Marketing & Business,haute
@facebook.ads.fr,Marketing & Business,haute
@tiktok.ads.france,Marketing & Business,haute
@instagram.france.tips,Marketing & Business,haute
@linkedin.france.tips,Marketing & Business,haute
@newsletter.france,Marketing & Business,haute
@substack.france,Marketing & Business,haute
@blog.monetiser.fr,Marketing & Business,haute
@affiliation.france,Marketing & Business,haute
@antoine.marketing,Marketing & Business,haute
@gabriel.growth,Marketing & Business,haute
@paul.branding.fr,Marketing & Business,haute
@vincent.seo.france,Marketing & Business,haute
@florian.marketing,Marketing & Business,haute
@chloe.social.media,Marketing & Business,haute
@jade.marketing.fr,Marketing & Business,haute
@lisa.branding,Marketing & Business,haute
@inès.content,Marketing & Business,haute
@zoe.social.fr,Marketing & Business,haute
@entrepreneur.france,Marketing & Business,haute
@indie.hacker.france,Marketing & Business,haute
@saas.france,Marketing & Business,haute
@startup.fr.tips,Marketing & Business,haute
@solopreneur.france,Marketing & Business,haute
@side.hustle.france,Marketing & Business,haute
@revenu.passif.france,Marketing & Business,haute
@dropshipping.france,Marketing & Business,haute
@ecommerce.france.tips,Marketing & Business,haute
@amazon.fba.fr,Marketing & Business,haute
@freelance.france.tips,Freelance & Productivité,moyenne
@travail.independant.fr,Freelance & Productivité,moyenne
@remote.work.france,Freelance & Productivité,moyenne
@teletravail.france,Freelance & Productivité,moyenne
@productivite.france,Freelance & Productivité,moyenne
@notion.france,Freelance & Productivité,moyenne
@obsidian.france,Freelance & Productivité,moyenne
@organisation.france,Freelance & Productivité,moyenne
@gtd.france,Freelance & Productivité,moyenne
@second.brain.fr,Freelance & Productivité,moyenne
@deep.work.france,Freelance & Productivité,moyenne
@morning.routine.france,Freelance & Productivité,moyenne
@routine.createur.fr,Freelance & Productivité,moyenne
@setup.youtube.fr,Freelance & Productivité,moyenne
@home.studio.france,Freelance & Productivité,moyenne
@micro.france.tips,Freelance & Productivité,moyenne
@camera.youtube.fr,Freelance & Productivité,moyenne
@lumiere.video.fr,Freelance & Productivité,moyenne
@montage.video.france,Freelance & Productivité,moyenne
@premiere.pro.france,Freelance & Productivité,moyenne
@davinci.resolve.fr,Freelance & Productivité,moyenne
@capcut.france.tips,Freelance & Productivité,moyenne
@thomas.freelance,Freelance & Productivité,moyenne
@nicolas.remote,Freelance & Productivité,moyenne
@pierre.productivite,Freelance & Productivité,moyenne
@hugo.travail.libre,Freelance & Productivité,moyenne
@alex.solopreneur,Freelance & Productivité,moyenne
@sarah.freelance.fr,Freelance & Productivité,moyenne
@lucie.productivite,Freelance & Productivité,moyenne
@clara.remote.work,Freelance & Productivité,moyenne
@pauline.organisation,Freelance & Productivité,moyenne
@julie.notion.fr,Freelance & Productivité,moyenne
@amandine.productivite,Freelance & Productivité,moyenne
@marie.travail.libre,Freelance & Productivité,moyenne
@elodie.solopreneur,Freelance & Productivité,moyenne
@lea.freelance,Freelance & Productivité,moyenne
@valentin.setup,Freelance & Productivité,moyenne
@mathieu.remote,Freelance & Productivité,moyenne
@clement.freelance,Freelance & Productivité,moyenne
@edouard.productivite,Freelance & Productivité,moyenne
@tiktok.croissance.fr,TikTok & Réseaux,moyenne
@tiktok.algorithm.france,TikTok & Réseaux,moyenne
@tiktok.conseils.fr,TikTok & Réseaux,moyenne
@viral.france.tips,TikTok & Réseaux,moyenne
@100k.tiktok.france,TikTok & Réseaux,moyenne
@tiktok.debutant.fr,TikTok & Réseaux,moyenne
@instagram.reels.france,TikTok & Réseaux,moyenne
@instagram.croissance.fr,TikTok & Réseaux,moyenne
@reels.tips.france,TikTok & Réseaux,moyenne
@contenu.viral.fr,TikTok & Réseaux,moyenne
@hook.tiktok.france,TikTok & Réseaux,moyenne
@storytelling.france,TikTok & Réseaux,moyenne
@script.tiktok.fr,TikTok & Réseaux,moyenne
@voix.off.france,TikTok & Réseaux,moyenne
@sous.titres.fr,TikTok & Réseaux,moyenne
@b.roll.france,TikTok & Réseaux,moyenne
@transition.video.fr,TikTok & Réseaux,moyenne
@son.video.france,TikTok & Réseaux,moyenne
@musique.video.fr,TikTok & Réseaux,moyenne
@podcast.france.tips,TikTok & Réseaux,moyenne
@lea.tiktok.france,TikTok & Réseaux,moyenne
@clara.reels,TikTok & Réseaux,moyenne
@sofia.tiktok.fr,TikTok & Réseaux,moyenne
@manon.viral,TikTok & Réseaux,moyenne
@jade.content.fr,TikTok & Réseaux,moyenne
@sarah.tiktok,TikTok & Réseaux,moyenne
@emma.reels.fr,TikTok & Réseaux,moyenne
@julie.tiktok.france,TikTok & Réseaux,moyenne
@chloe.viral.fr,TikTok & Réseaux,moyenne
@alice.tiktok,TikTok & Réseaux,moyenne
@finance.perso.france,Finance & Business,moyenne
@investissement.fr,Finance & Business,moyenne
@bourse.france.tips,Finance & Business,moyenne
@trading.france,Finance & Business,moyenne
@crypto.france.tips,Finance & Business,moyenne
@bitcoin.france,Finance & Business,moyenne
@immobilier.france.tips,Finance & Business,moyenne
@epargne.france,Finance & Business,moyenne
@retraite.anticipee.fr,Finance & Business,moyenne
@liberte.financiere.fr,Finance & Business,moyenne
@budget.france.tips,Finance & Business,moyenne
@salaire.france,Finance & Business,moyenne
@micro.entreprise.fr,Finance & Business,moyenne
@auto.entrepreneur.france,Finance & Business,moyenne
@cotisations.urssaf.fr,Finance & Business,moyenne
@comptabilite.freelance.fr,Finance & Business,moyenne
@impots.france.tips,Finance & Business,moyenne
@tva.france.tips,Finance & Business,moyenne
@bilan.comptable.fr,Finance & Business,moyenne
@holding.france.tips,Finance & Business,moyenne
@romain.finance,Finance & Business,moyenne
@mathieu.investissement,Finance & Business,moyenne
@jean.bourse,Finance & Business,moyenne
@benoit.trading,Finance & Business,moyenne
@xavier.crypto,Finance & Business,moyenne
@aurore.finance,Finance & Business,moyenne
@pauline.investissement,Finance & Business,moyenne
@marine.epargne,Finance & Business,moyenne
@heloise.budget,Finance & Business,moyenne
@margot.liberte.financiere,Finance & Business,moyenne
@formation.en.ligne.fr,Formation & Éducation,normale
@cours.gratuit.france,Formation & Éducation,normale
@elearning.france,Formation & Éducation,normale
@certification.france,Formation & Éducation,normale
@udemy.france.tips,Formation & Éducation,normale
@skillshare.france,Formation & Éducation,normale
@coaching.france,Formation & Éducation,normale
@mentorat.france,Formation & Éducation,normale
@dev.web.france,Formation & Éducation,normale
@python.france.tuto,Formation & Éducation,normale
@javascript.france,Formation & Éducation,normale
@html.css.france,Formation & Éducation,normale
@react.france.tuto,Formation & Éducation,normale
@node.france,Formation & Éducation,normale
@sql.france.tuto,Formation & Éducation,normale
@data.science.france,Formation & Éducation,normale
@excel.france.tuto,Formation & Éducation,normale
@powerpoint.france,Formation & Éducation,normale
@google.sheets.fr,Formation & Éducation,normale
@figma.france.tuto,Formation & Éducation,normale
@design.graphisme.fr,Formation & Éducation,normale
@photoshop.france,Formation & Éducation,normale
@illustrator.france,Formation & Éducation,normale
@canva.france.tips,Formation & Éducation,normale
@notion.tuto.france,Formation & Éducation,normale
@thomas.dev,Formation & Éducation,normale
@lucas.code,Formation & Éducation,normale
@martin.developpeur,Formation & Éducation,normale
@julien.python,Formation & Éducation,normale
@pierre.webdev,Formation & Éducation,normale
@lea.design,Formation & Éducation,normale
@clara.graphisme,Formation & Éducation,normale
@alice.figma,Formation & Éducation,normale
@emma.canva.france,Formation & Éducation,normale
@sophie.design.fr,Formation & Éducation,normale
@vlog.france.quotidien,Lifestyle & Divertissement,normale
@journée.createur.fr,Lifestyle & Divertissement,normale
@day.in.life.france,Lifestyle & Divertissement,normale
@behind.scenes.fr,Lifestyle & Divertissement,normale
@studio.setup.france,Lifestyle & Divertissement,normale
@workspace.france,Lifestyle & Divertissement,normale
@tech.gadgets.france,Lifestyle & Divertissement,normale
@unboxing.france,Lifestyle & Divertissement,normale
@avis.produit.fr,Lifestyle & Divertissement,normale
@test.comparatif.fr,Lifestyle & Divertissement,normale
@amazon.finds.france,Lifestyle & Divertissement,normale
@bons.plans.france,Lifestyle & Divertissement,normale
@tech.moins.cher.fr,Lifestyle & Divertissement,normale
@materiel.createur.fr,Lifestyle & Divertissement,normale
@micro.podcast.fr,Lifestyle & Divertissement,normale
@camera.test.france,Lifestyle & Divertissement,normale
@pc.gamer.france,Lifestyle & Divertissement,normale
@setup.gaming.fr,Lifestyle & Divertissement,normale
@streaming.france.tips,Lifestyle & Divertissement,normale
@twitch.france.conseils,Lifestyle & Divertissement,normale
@thomas.vlog,Lifestyle & Divertissement,normale
@raphael.setup,Lifestyle & Divertissement,normale
@arthur.tech,Lifestyle & Divertissement,normale
@florian.gadgets,Lifestyle & Divertissement,normale
@ethan.creator,Lifestyle & Divertissement,normale
@lea.vlog.fr,Lifestyle & Divertissement,normale
@camille.lifestyle,Lifestyle & Divertissement,normale
@lucie.setup,Lifestyle & Divertissement,normale
@alice.tech,Lifestyle & Divertissement,normale
@emma.vlog.france,Lifestyle & Divertissement,normale
@ia.manga.france,Niches spéciales,normale
@ia.gaming.france,Niches spéciales,normale
@ia.cuisine.fr,Niches spéciales,normale
@ia.fitness.france,Niches spéciales,normale
@ia.musique.fr,Niches spéciales,normale
@ia.photo.france,Niches spéciales,normale
@ia.mode.fr,Niches spéciales,normale
@ia.voyage.france,Niches spéciales,normale
@ia.sport.fr,Niches spéciales,normale
@ia.education.france,Niches spéciales,normale
@createur.manga.ia,Niches spéciales,normale
@youtuber.gaming.ia,Niches spéciales,normale
@foodtube.ia.fr,Niches spéciales,normale
@fitness.creator.ia,Niches spéciales,normale
@music.producer.ia.fr,Niches spéciales,normale
@photographe.ia.france,Niches spéciales,normale
@fashionista.ia.fr,Niches spéciales,normale
@travel.creator.ia,Niches spéciales,normale
@sport.creator.ia.fr,Niches spéciales,normale
@edu.creator.ia.france,Niches spéciales,normale
@axel.ia.gaming,Niches spéciales,normale
@nolan.ia.manga,Niches spéciales,normale
@lena.ia.mode,Niches spéciales,normale
@nina.ia.cuisine,Niches spéciales,normale
@zara.ia.voyage,Niches spéciales,normale
@content.creator.fr,Divers créateurs,normale
@createur.de.contenu.fr,Divers créateurs,normale
@influenceur.france,Divers créateurs,normale
@nano.influenceur.fr,Divers créateurs,normale
@micro.influenceur.france,Divers créateurs,normale
@tiktoker.france,Divers créateurs,normale
@youtuber.france,Divers créateurs,normale
@streamer.france,Divers créateurs,normale
@podcaster.france,Divers créateurs,normale
@blogger.france,Divers créateurs,normale
@recrutement.creator.fr,Divers créateurs,normale
@agence.influence.fr,Divers créateurs,normale
@brand.content.france,Divers créateurs,normale
@media.kit.france,Divers créateurs,normale
@talent.creator.fr,Divers créateurs,normale
@abonnes.gratuits.fr,Divers créateurs,normale
@croissance.organique.fr,Divers créateurs,normale
@communaute.youtube.fr,Divers créateurs,normale
@discord.createur.fr,Divers créateurs,normale
@patreon.france.tips,Divers créateurs,normale
@hugo.creator,Divers créateurs,normale
@ethan.influenceur,Divers créateurs,normale
@nolan.tiktoker,Divers créateurs,normale
@axel.content.fr,Divers créateurs,normale
@leo.creator.fr,Divers créateurs,normale
@zoe.influenceur.fr,Divers créateurs,normale
@ana.creator.france,Divers créateurs,normale
@lola.content.fr,Divers créateurs,normale
@nina.tiktoker,Divers créateurs,normale
@ines.creator.fr,Divers créateurs,normale
@ia.entreprise.fr,Avancé & Pro,normale
@ia.startup.france,Avancé & Pro,normale
@ia.rh.france,Avancé & Pro,normale
@ia.juridique.fr,Avancé & Pro,normale
@ia.comptabilite.fr,Avancé & Pro,normale
@ia.sante.france,Avancé & Pro,normale
@ia.education.pro,Avancé & Pro,normale
@ia.immobilier.fr,Avancé & Pro,normale
@ia.finance.pro,Avancé & Pro,normale
@ia.b2b.france,Avancé & Pro,normale
@openai.france,Avancé & Pro,normale
@anthropic.france,Avancé & Pro,normale
@llm.france,Avancé & Pro,normale
@rag.ia.france,Avancé & Pro,normale
@fine.tuning.france,Avancé & Pro,normale
@machine.learning.fr,Avancé & Pro,normale
@data.ia.france,Avancé & Pro,normale
@python.ia.france,Avancé & Pro,normale
@langchain.france,Avancé & Pro,normale
@vector.db.fr,Avancé & Pro,normale
@lena.ia.pro,Avancé & Pro,normale
@oscar.machine.learning,Avancé & Pro,normale
@victor.data.ia,Avancé & Pro,normale
@felix.llm.fr,Avancé & Pro,normale
@adam.ai.france,Avancé & Pro,normale
@chloe.ia.pro,Avancé & Pro,normale
@ines.data.science,Avancé & Pro,normale
@ambre.ia.startup,Avancé & Pro,normale
@elise.tech.ia,Avancé & Pro,normale
@mia.ai.france,Avancé & Pro,normale
@youtube.debutant.fr,Débutants & Conseils,normale
@premiers.abonnes.fr,Débutants & Conseils,normale
@premiere.video.france,Débutants & Conseils,normale
@lancer.chaine.youtube.fr,Débutants & Conseils,normale
@youtube.2024.france,Débutants & Conseils,normale
@youtube.2025.fr,Débutants & Conseils,normale
@1000.abonnes.france,Débutants & Conseils,normale
@10000.abonnes.fr,Débutants & Conseils,normale
@monetisation.debutant.fr,Débutants & Conseils,normale
@formation.youtube.fr,Débutants & Conseils,normale
@materiels.debutant.fr,Débutants & Conseils,normale
@camera.debutant.france,Débutants & Conseils,normale
@micro.debutant.fr,Débutants & Conseils,normale
@lumiere.debutant.france,Débutants & Conseils,normale
@montage.debutant.fr,Débutants & Conseils,normale
@erreurs.youtubers.fr,Débutants & Conseils,normale
@conseils.creator.fr,Débutants & Conseils,normale
@tips.youtube.france,Débutants & Conseils,normale
@secrets.youtubers.fr,Débutants & Conseils,normale
@verite.youtube.france,Débutants & Conseils,normale
@martin.debutant.yt,Débutants & Conseils,normale
@paul.premiers.abonnes,Débutants & Conseils,normale
@simon.lancer.chaine,Débutants & Conseils,normale
@kevin.youtube.debut,Débutants & Conseils,normale
@theo.premier.video,Débutants & Conseils,normale
@laure.youtube.debutant,Débutants & Conseils,normale
@anna.creator.debut,Débutants & Conseils,normale
@lisa.premiere.chaine,Débutants & Conseils,normale
@clara.youtube.start,Débutants & Conseils,normale
@lucie.debutante.yt,Débutants & Conseils,normale
@ia.music.france,IA Créatif,normale
@ia.art.france,IA Créatif,normale
@ia.video.france,IA Créatif,normale
@ia.image.fr,IA Créatif,normale
@ia.ecriture.france,IA Créatif,normale
@ia.scénario.fr,IA Créatif,normale
@ia.voix.france,IA Créatif,normale
@ia.doublage.fr,IA Créatif,normale
@ia.podcast.france,IA Créatif,normale
@ia.newsletter.fr,IA Créatif,normale
@sora.france,IA Créatif,normale
@runway.france,IA Créatif,normale
@pika.france,IA Créatif,normale
@kling.france,IA Créatif,normale
@elevenlabs.fr,IA Créatif,normale
@udio.france,IA Créatif,normale
@suno.france,IA Créatif,normale
@synthesia.fr,IA Créatif,normale
@heygen.france,IA Créatif,normale
@descript.france,IA Créatif,normale
@victor.ia.art,IA Créatif,normale
@oscar.ia.music,IA Créatif,normale
@elisa.ia.video,IA Créatif,normale
@naomi.ia.creative,IA Créatif,normale
@eva.ia.ecriture,IA Créatif,normale
@louis.ia.art,IA Créatif,normale
@tom.ia.musique,IA Créatif,normale
@greg.ia.video,IA Créatif,normale
@enzo.ia.creative,IA Créatif,normale
@mael.ia.podcast,IA Créatif,normale
